mRNA	logFC	FDR	Sub-0	Sub-1	Delta
ANKRD34A	-0.2095640249135071	0.06799721874107206	30.07179487179487	25.365269461077844	6.301966369706696
NUDT9	0.004143336982870325	0.9607693381732789	1520.9692307692308	1491.6107784431138	6.301888063653984
GRRP1	-0.1260042688242657	0.2962469853767942	49.49230769230769	45.50898203592814	6.236242043194812
ATP6AP1L	0.10969591622422148	0.35039083651249614	56.76923076923077	60.724550898203596	6.227352782575035
UGT2A1	-0.03600236710487872	0.9145266178160943	172.33333333333334	153.51497005988023	6.204407931074099
C16orf46	0.11275518627996027	0.32335460752867645	54.56923076923077	60.10778443113772	6.152963780538755
CTNNBIP1	-0.005793914319363679	0.9460595985213894	1060.4307692307693	1040.9161676646706	6.144045018539995
GNA14	0.08300050017890931	0.603466730104039	73.72307692307692	82.24550898203593	6.11905225934359
MTRF1	-0.02314634068500013	0.7908282537472534	264.28205128205127	259.4670658682635	6.1171623959050345
LOC100144603	-0.21324932145635128	0.057398843246906486	28.661538461538463	23.79640718562874	6.112053628818192
ZNF771	0.03449029826451587	0.7341295643863532	177.05641025641026	175.4311377245509	6.106728399388077
COQ7	0.009960670211029301	0.880779690070178	609.625641025641	607.6946107784431	6.072279962443745
C14orf159	0.005293605851638947	0.9588328892922873	1144.4410256410256	1156.820359281437	6.058219710189011
FGF12	-0.04409551968354584	0.8545321188057015	136.8	137.65269461077844	6.032267092709071
MGC23270	-0.12340636882934133	0.34302718484399725	48.815384615384616	45.07784431137725	6.024129358392309
MPL	0.24622419003602808	0.035020171635505366	24.17948717948718	29.18562874251497	5.953574646255755
C1orf112	-0.014380564403067439	0.9160324505091545	413.44615384615383	407.37125748502996	5.945589042585143
ASPRV1	0.11590215748374559	0.24691290757436246	51.08205128205128	56.17365269461078	5.920519952285076
RNF113A	-0.007892228980668775	0.9170191745699316	739.8307692307692	702.7305389221557	5.838913837713549
CTU2	-0.010488788429288047	0.8874206552592229	556.2205128205128	547.7065868263473	5.834079279004459
